epoch,average_train_loss,average_validation_loss,training_wall_seconds,training_wall_hours,training_cpu_seconds,validation_wall_seconds,validation_cpu_seconds,learning_rate,completion_time
1,0.6822582755104771,0.5958151409431,14415.65909239999,4.004349747888886,53201.859375,1184.6097833000094,4659.5625,0.005,2026-08-02T01:16:06.831083
2,0.5736552451352341,0.6014274956088285,26621.66488279999,7.394906911888886,54714.390625,1687.077341599972,5329.015625,0.005,2026-08-02T16:56:20.407768
3,0.5403078663386215,0.5431915177298444,13916.296629299992,3.865637952583331,51705.6875,1125.546919199987,4450.703125,0.005,2026-08-02T21:14:11.100895
4,0.4012374995563806,0.4679127374112758,15909.129244100011,4.419202567805558,52659.421875,1119.8884864999854,4429.59375,0.0005,2026-08-03T02:05:19.148466
5,0.3680848923046141,0.4789993623537676,17070.7571856,4.741876996,52541.3125,1051.7570638000034,4161.9375,0.0005,2026-08-03T15:28:53.482874
6,0.3489819198817119,0.4670240306190918,16888.962380400015,4.691378439000004,53165.703125,1141.2796330000274,4511.109375,0.0005,2026-08-03T20:33:00.375919
7,0.32203299052364726,0.4783720080816776,16730.982641299954,4.647495178138876,52877.71875,1132.7385826000245,4478.359375,5e-05,2026-08-04T01:50:11.385900
